н,,,,,,,
,,,,,,,
ЗАДАНИЯ И ПРАКТИКИ ДЛЯ КУРСА МИЛАНЫ,,,,,,,
,,,,,,,
Планета,,Запрос ца,Название,Форма задания,Описание,В дизайне,
,2,,Поднятие самооценки. Дневник успеха,Практика,"С сегодняшнего дня начните вести дневник в заметках телефона. Каждый день отмечайте в нем свои победы. Например, вы смогли рано проснуться, либо сказали кому-то «нет», вы сделали новое действие, на которое долго не решались — отметьте это в дневнике и мысленно похвалите себя. Так вы приучите свой мозг видеть свой рост и изменения. Обращайте внимание на каждый свой успех, даже если он пока кажется вам минимальным. Развивайте мощную привычку к самонаблюдению, искусство маленьких шагов и самоуважение.

",,
,3,,Нейропрактика на уверенность в себе,Нейропрактика,,,
,4,,"Состояние уверенности, телесная практика",Телесная практика,"Определенные положения тела могут включать состояние уверенности. 
Встаньте, расставьте ноги чуть шире плеч. 
Вытяните вверх позвоночник, поднимите подбородок чуть выше линии горизонта и  поднимите одну руку уверенно вверх, сжав кулак. 
Взгляд направьте вперед, чуть выше уровня горизонта. 
Расправьте плечи и грудную клетку, дышите глубоко, полной грудью. 
Вы можете проделать все то же самое, сидя на стуле и оперевшись на его спинку, на этот раз вальяжно закинув руки назад и скрестив их за головой. 
Находясь в таком положении, повторяйте вслух или про себя аффирамации: «Я обретаю уверенность, я обладаю огромным потенциалом, я сильная и уверенная личность, я чувствую себя уверенно и спокойно в любой ситуации. Во мне огромный дар и талант. У меня получается все!» 
Выполняйте это упражнение 2 минуты. 
В начале вы можете почувствовать себя неловко, неудобно. Вам захочется принять привычную позу. 
Постепенно этим упражнением вы мгновенно научитесь поднимать чувство уверенности в себе, снижать уровень стресса, убирать волнение перед ключевыми действиями и решениями.
",,
,5,Как полюбить себя,Практика на любовь к себе,Аудиопрактика,"Представьте себя маленькой девочкой, когда вам было, может быть, 4-5 лет. 
Какая она, что она чувствует? 
Представьте вашу встречу. Подойдите к ней. 
Что она хочет вам сказать? Что если ей не хватает вашей поддержки и заботы о ней. Любви и веры в нее. Кто если не вы поддержите ее и начнете ее ценить, защищать ее интересы больше всех других людей. 
Возможно, вам хочется ее обнять, защитить, дать ей много тепла и любви. Обнимите ее и скажите: «Я тебя очень люблю, ты самый драгоценный для меня человек, я всегда буду тебя защищать и оберегать, выбирать тебя и твои иннтересы. Обещаю. Я принимаю тебя такой. Прости меня за все. Я тебя люблю!» 
Представьте, как ваша маленькая девочка уменьшается в обьемах и помещается на вашу ладонь. И вы перемещаете ее в свое сердце. Теперь она внутри вас. 
Отследите, насколько ей там комфортно. Отследите свои ощущения. 
Берегите ее отныне. Всегда.
",,
,6,Как начать действовать,Техника принятия решений,Практика,"Представьте любую ситуацию, в которой вы себя неуверенно проявляете. Разделите лист бумаги на 4 части. 
В левом верхнем квадрате напишите: плюсы того, что вы так поступите. 
В правом верхнем кадрате: минусы того, что вы так поступаете. 
В левом нижнем квадрате: плюсы, если вы не сделает этого. 
В правом нижнем: минусы, если вы не сделаете этого. 
А теперь оцените и взвесьте, как для вас будет правильнее всего поступить.
",,
,7,Как взрастить свою ценность,"Повышение самооценки,ваши достоинства",Практика,"Выпишите в дневник все свои достоинства. Что вы цените в себе, что вас отличает от других людей, за что вы себя можете похвалить, чем похвастаться. 
Это могут быть особенности вашей внешности, фигуры, черты характера, профессиональные и личные навыки, любые ваши особенности. Напишите список из не менее 50 пунктов. 
Посмотрите на него, как закончите, перечитайте вслух. 
Отследите свои ощущения. Как они изменились?
",,
,8,,Вера в себя,Практика,"Напишите попунктно свои цели, желания, чего вы хотите достичь, что вы хотите иметь в разных сферах своей жизни. Справа от написанного оставьте место.
Напротив каждого пункта нужно будет написать не менее 30 пунктов. 
Напротив каждого пункта напишите, почему у вас это получится, почему вы этого достойны. 
Если будет возникать сопротивление и негативные мысли, почему у вас это НЕ получится или вы этого НЕ достойны — то находите этому опровержение либо просто опускаете эти факторы. Ваша задача — написать только положительные утверждения в лист.",,
,9,,Практика «Путь героя»,Практика,"Составьте топ-50 своих достижений за жизнь, начиная с сегодняшнего дня и назад в детство. Это могут быть как крупные победы, так и мелкие достижения. Важно напомнить себе, какая вы молодец!",,
,10,,Практика «Я достойна!»,Практика,"Напишите список, чего вы достойны в своей жизни. 
Опишите разные сферы: отношение к себе, отношения с мужчиной, окружение, материальные вещи: одежда, дом и т. д. 
Напротив каждого пункта напишите минимум два доказательства, почему вы этого достойны. 
На негативные суждения, почему вы недостойны, не реагируем, опукаем.
Отследите свои ощущения. В конце стоит подытожить выводом и фразой: «Я достойна этого просто так, потому что Я ЕСТЬ!»
Признайте свою ценность и значимость. Весь мир и все, что в нем есть — это создано для вас!
",,
,11,Как освободиться от страхов и начать смело принимать решения,Осознанность и взрослая позиция ,Практика,"Эта практика поможет вам изменить негативные суждения и вернуть себе ответственность за свою жизнь. 
Разделите лист на 4 столбца. 
В первом напишите все обстоятельства вашей жизни, которыми вы неудовлетворены: «Я недовольна тем, что...» 
Во втором столбце напишите свои мысли по поводу негативных суждений: «Раньше я думала, что к этому причастен (работодатель, государство, муж, генетика и т. д.». 
В третьем столбце напишите: «Теперь я полностью беру ответственность за происходящее на себя, я пришла к этому путем того, что...» 
В четвертом столбце напишите: «Я намерена изменить эту ситуацию следующим образом...» Пропишите ключевые действия. А также мелкие действия, которые сделаете в ближайшие 48 часов. ВАЖНО, что эти мелкие действия сдвинут вас с вашей точки уже сейчас и начнут процесс последующих глобальных изменений. 
Вы можете ниже выписать свои инсайты и осознания. Некоторые вещи вы, возможно, пересмотрите и поймете, что в них есть выгода для вас, а с некоторыми вы точно решите распроститься и действовать уже с сегодняшего дня.",,
"Кету (освобождение от негатива, духовность)",1,Как взять жизнь в свои руки и перестать сливать энергию на негатив,Отпускание негативного прошлого,Практика,"Выпишите негативные ситуации, которые были или есть сейчас в вашей жизни. 
Сядьте перед этим списком, вспоминайте, повторяйте события и обращайтесь к каждому человеку со словами: «Благодарю. Люблю. Отпускаю». Минимум 9 раз. 
Затем подумайте о своем будущем. Напишите сценарий событий в позитивном ключе. Посмотрите на свое описание, когда закончите, и повторяйте слова: «Благодарю. Люблю. Принимаю». Повторяйте себе это, пока не почувствуете покой и веру в то, что будет именно так.",,
,2,,Убираем страхи,Телесная практика,"Рапишите свой страх. 
Вспомните самый яркий момент, когда он проявился. Можно подумать о том, что это страшное случилось.
Зафиксируйте напряжение в теле. Где оно находится? Внутри или снаружи тела? Какой формы? Какого цвета? Какой консистенции? 
Поговорите со своим страхом: «Я позволяю тебе быть. Я понимаю, что ты возникаешь, потому что защищаешь меня. А раз ты меня защищаешь, значит, ты мой друг, и я очень благодарна тебе за эту дружбу, защиту и поддержку. И когда ты, страх, возникаешь, какую информацию, какое знание ты мне несешь?» 
Страх может трансформироваться, а может нести какую-то информацию. В голову могут приходить мысли, образы. 
Разговаривайте со страхом до полного исчезновения. Если страх не хочет уходить, попробуйте договориться с ним о ресурсах: спросите его, что вам поможет, как это сделать. Поблагодарите страх за рекомендации. 
Если вы осознали, что больше вам страх не нужен, отпустите его с этими словами: «Теперь я справлюсь отлично и без тебя. Я тебя отпускаю. У меня все будет хорошо». 
Отработайте так несколько своих страхов.",,
,3,,Нейропрактика на освобождение от страхов и обид,Нейропрактика,,,
,4,Как проработать обиды на партнера и детей,Практика радикального прощения ,Практика,"Смысл радикального прощения в том, чтобы ощутить, что вам некого и не за что прощать. Осознать, что все, что бы ни происходило, было вам во благо и ради вас. Что промысел и души людей специально проиграли такой сценарий ради вашего роста и исцеления.
Расскажите свою историю на листе: 
1. Опишите, чем человек или ситуация вызвали ваше огорчение, обиду, недовольство. 
2. Как вы сейчас воспринимаете эту ситуацию? 
3. Используйте фразы: «Я сержусь на тебя за то, что ты... Твое поведение вызывает у меня чувство...» 
3. Напишите: «Я с любовью признаю и принимаю свои чувства и больше не осуждаю их». 
4. Напишите: «Я — хозяйка своих чувств, и никто не может меня заставить чувствовать что бы то ни было. Мои чувства — отражение того, как я вижу ситуацию». 
5. Продолжите: «Хотя мне неизвестно, как и почему это происходит, я согласна, что эта ситуация создана для моего роста и развития». 
6. Какие ключи, совпадения, повторяющиеся ситуации вы видите в своей жизни? Они могут указывать на то, что в вашей жизни было много возможностей для исцеления, которые вы не заметили в свое время. Выпишите их. 
7. Ваше недовольство служит сигналом, что вы лишали любви себя и человека, к которому сейчас испытываете негативные эмоции. Напишите, как вы проявляли себя: может быть, это было осуждение, неоправданные ожидания, желание, чтобы человек изменился. 
8. Используйте фразы: «Я понимаю, что расстраиваюсь, когда попадаю в резонанс с тем, что отрицаю в себе, вытесняю и проецирую на других людей». 
9. Продолжите: «Этот человек отражает мне то, что мне нужно принять и полюбить в себе, мое ложное восприятие действительности. Прощая его, я исцеляюсь и создаю для себя новую действительность».
10. Продолжите: «Теперь я понимаю, что никакие действия людей не являются ни плохими, ни хорошими». 
11. Напишите: «Я отказываюсь от любых суждений. Я отказываюсь от потребности судить и быть правой. Я хочу видеть совершенство любой ситуации, как она есть». 
12. Продолжите: «Хотя мне пока непонятно, как и почему это происходит, я осознаю, что каждый из нас получил то, что выбрал на подсознательном уровне». 
13. Напишите: «Я благодарю тебя за то, что ты согласился сыграть свою роль в моем исцелении. Я горжусь собой за то, что сыграла роль в твоем исцелении». 
14. «Я освобождаю свое сознание от всех чувств (еще раз перечислите свои чувства». 
15. Поблагодарите человека: «Я благодарю тебя за готовность стать зеркалом моего ложного восприятия и за то, что ты дал мне возможность принять себя такой, какая я есть». 
16. Напишите: «Теперь я осознаю, что все, пережитое мной, было отражением моего нездорового восприятия ситуации. Теперь я понимаю, что могу изменить свою реальность, просто проявив желание увидеть в ситуации совершенство». 
17. «Я полностью прощаю себя и принимаю себя. Я освобождаюсь от потребности цепляться за негативные эмоции, которые несут недовольство собой и ограничения. Я отказываюсь направлять свою энергию в прошлое и разрушаю все преграды, которые отделяют меня от любви и изобилия. Я — творец своих мыслей, чувств, жизни. Я признаю свое единство с источником и чувствую связь с ним». 
18. «Я чувствую, что ситуация будет развиваться совершенным образом. Я есть любовь. Я закрываю глаза, чтобы почувствовать, как через меня течет любовь. Я всей душой прощаю тебя, поскольку вижу, что ты не сделал ничего плохого. Я люблю тебя». 
19. Напишите: «Сегодня я всей душой прощаю тебя, (имя человека), поскольку вижу, что ты не сделал ничего плохого и все произошедшее подчинено Божественному порядку. Я благодарю, принимаю и люблю тебя без всяких предварительных условий, такого, какой ты есть». 
20. «Я признаю, что я вляюсь духовной сущностью, переживающей человеческий опыт. Я люблю и одобряю себя во всех своих человеческих проявлениях».",,
,5,,Родители. Сепарация от чувства вины/обиды,Практика,"Возьмите лист бумаги и напишите все ваши мысли, убеждения о маме и папе. Что, по вашему, они вам должны, или вы им. Какие от кого ожидания. В том числе, финансовая зависимость друг от друга, претензии. 
За что вы чувствуете себя перед ними в обиде или наоборот. 
Можете описать, за что вы им благодарны. Также вы можете дописать, какие они, почему и какими им, возможно, стоило бы быть. Какими они хотят видеть вас, и насколько вам комфортно поддерживать их ожидания. 
Вы можете описать ваши конфликты. 
Задача — описать ваши отношения с родителями. 
После этого напишите: «Да, так было. Это путь моих родителей. Это их выбор. Это опыт их душ, за которым они пришли. И я принимаю его. Я благодарю маму и папу за жизнь, которую они мне подарили. Это самый ценный подарок, который я получила. А я могу жить, действовать, реализовывать себя так, как хочу я. Ведь я Душа, которая пришла в этот мир через них, но ради того чтобы пройти свой путь. И сейчас я выбираю свой путь реализации и предназначения. Я беру себе лучшее от моих родителей, а программы, которые не делают меня счастливой, я оставляю родителям. Я спокойно принимаю, что иду вразрез с ожиданиями родителей, потому что их убеждения — это их убеждения, не мои. И это не означает, что я их не люблю. У моих родителей свой путь, у меня свой».
Пишите письмо, обращаясь к маме и папе по отдельности. Пропишите и почувствуйте освобождние и свободу. Повторяйте эту практику столько, сколько вам потребуется.",,
,6,Как убрать блоки мышления,Освобождение от чужих сценариев,Практика,"Каждый раз когда вы рассуждаете на каку-то важную тему в  нагетивном ограничивающем ключе задумыввайтесь - откуда у вас это убеждение? Чей это сценарий? Кто и когда вам его навязал? А что если может быть по-другому? Проделайте практику на листе 
Отвечайте на 3 вопроса: 
1) Что я сейчас думаю? 
2) Откуда у меня это мнение? А это точно мое мнение? 
3) Зачем мне это мнение, оно мне помогает? 
И если нет — освобождайтесь от него. Проговаривайте вслух: «Да, я так думала раньше. Но это не ведет меня к благополучию. Теперь я думаю иначе» — и добавляйте ваше новое позитивное, нужное именно вам убеждение. Втечение дня периодически оТСЛЕЖИВАЙТЕ свои мысли, ТРАНСФОРМИРУЙТЕ ИХ НУЖНЫМ ВАМ ОБРАЗОМ. ",,
,7,Как выйти из зависимости от чужого мнения и начать легко проявляться,Независимость от мнения других,Аудиопрактика,"Сделайте глубокий вдох через нос и медленный плавный выдох ртом. 
Ваши глаза закрыты, тело максимально расслабленно. 
Откройте свои внутренние глаза и увидьте себя в некоем пространстве. Ощутите за своей спиной людей. Среди них ваши родственники, близкие, друзья, знакомые, одноклассники, соседи, просто незнакомые люди. 
Повернитесь к ним лицом и посмотрите на них. 
Проговорите им несколько матерных слов: 3 существительных и 1 глагол. 1 слово обозначает мужской половой орган, 2 — женский, 3 — женщину легкого поведения, а глагол — половой акт. 
Кричите эти слова так громко, чтобы все, кто стоят перед вами, услышали их. Отследите реакцию своего тела, свои ощущения и чувства. 
Возможно, вам страшно, а может быть, смешно? Смех — это маска, признак боли и обиды внутри, которую вы хотите скрыть, спрятать. 
Возможно, поднимается злость, возбуждение — это здоровая реакция. 
Безразличие — это сигнал противодействия, желание противостоять обществу, бороться с ним. 
Почувствуйте, как вы стоите перед обществом и смотрите на него. 
Теперь посмотрите на ситуацию со стороны. Увидьте среди толпы лидера — человека, который, по вашему мнению, является лидером. 
На выдохе посмотрите на себя глазами этого лидера. Отследите, что чувствует лидер, когда вы произносите эти слова. 
Вернитесь в свое тело. Проговорите: «Мне сейчас очень важно поделиться с вами своими мыслями. У меня есть страх. Я очень боюсь, что если я не буду такой, как вы, если я буду проявляться не так, как вы от меня ожидаете, что если я буду собой и буду делать так, как я хочу, то вы не примете меня и осудите меня. Правда в том, что я устала запрещать и ограничивать себя. Мне когда-то это было нужно. Но теперь я хочу прожить другой опыт, и я принимаю решение выбрать то, что хочу я. Я принимаю решение дейтвоваовать так, как хочу я». 
Проговорите, как вы хотите жить, проявлять себя, какие цели хотите достигать. 
Позвольте всем эмоциям пройти через себя. От каких запретов и ограничений вы устали? Расскажите, что для вас свобода от чужого мнения, косых взглядов, осуждения и ожиданий. Проговорите: «Я благодарю вас, потому что именно благодаря этому опыту я стала той, кто я есть сейчас». 
Осознайте это: благодаря запретам и ограничениям, мы становимся теми, кто мы есть. Осознайте: на самом деле обществу нет до вас дела. Их критика не имеет к вам никакого отношения. Весь их негатив — это лишь то, что они не смогли когда-то кому-то высказать. И выплескивая напряжение на вас, они просто облегчают свою жизнь. 
Осознайте, что только вы решаете, играть с ними в эту игру или идти по своему собственному пути. 
Встаньте спиной к обществу. Посмотрите на свой жизненный путь, какой он. 
Скажите: «Сегодня я приняла важное решение для себя: быть по-настоящему собой и по-настоящему проявляться». 
Сделайте шаг вперед.
Откройте глаза. ",,
,8,Как стать смелой,Проявляться свободно,Практика,"Вспомните и выпишите все ситуации, когда вы боялись проявляться. Какие последствия и минусы своей непроявленности вы видите в этих ситуациях? 
Напротив каждой ситуации напишите: если бы вы тогда проявились, что бы тогда имели, какие плюсы могли получить, если бы проявились? 
Признайте невыгодность не проявляться и попробуйте в ближайшее же время сделать что-то по-своему или новое, нестандартное для вас.",,
,9,,Практика на стойкость и решительность,Практика,"Напишите список своих страхов и проработайте их по алгоритму. 
ПЛАН А:
1. Вспомните и выпишите свои страхи. 
2. Какую эмоцию прямо сейчас это у вас вызывает? 
Напишите: «Я чувствую...» 
Признайте свой страх. Примите его. Когда мы называем вещи своими именами, мы начинаем меньше бояться. 
3. Представьте, что случилось то, чего вы боитесь. 
Проживите это состояние. Докрутите его в воображении до предела, до самых утрированных последствий. Прожив самый страшный страх, вы уже его не боитесь.  

ПЛАН Б: Представьте свой страх или ситуацию, которую боитесь. Прокрутите в голове, как вы его преодолеваете. Примите решение действовать. Посмотрите в зеркало и решительно скажите себе: «Несмотря на то, что страшно, я это сделаю!» 
Сделайте. Привыкните действовать, невзирая на страх. Действие побеждает страх. ",,
,10,,Практика создания позитивной реальности,"Практика, упражнение","Выпишите в первом столбце все свои негативные установки, убеждения и фразы на любой счет. 
Во втором столбце напротив напишите антонимы этому. Самостоятельные позитивные установки и фразы в позитивном ключе на этот счет. 
Визуализируйте эту картинку. Будто каждая ваша позитивная установка ожила, проживите ее эмоционально, погрузитесь в представления максимально. Так ваш мозг сформирует новые нейронные связи и новую картину видения мира. 
Вы можете проделывать так в дальнейшем с каждой новой всплывающей негативной установкой.",,
,11,,Позитивное мышление и видение возможностей,"Практика, упражнение","Вспомните минимум три негативные ситуации в своей жизни, которые вас беспокоят. Напишите их, начиная со слов «Здорово, что это произошло, потому что...» — и дальше распишите плюсы каждой ситуации, минимум 5. 
Делайте так каждый раз, когда возникает необходимость. Так вы выработаете нейронную связь и навык мыслить позитивно и видеть возможности, и при следующей ситуации, когда появится желание грустить и сожалеть, вы будете ощущать, что все вам на руку, не будете впадать в негативное состояние, будете иметьвозможность реагировать спокойно в любой ситуации и принимать осознанные продуктивные решения.",,
,13,Как сохранять осознанность,Практика благодарности,Практика,"Заведите дневник благодарностей и заполняйте его каждый вечер. Уделяйте ему 5 минут своего времени. Напишите минимум 5 благодарностей за день. Вы можете писать благодарности людям, себе, ситуациям и событиям. 
Затем напишите, благодаря кому это произошло в вашей жизни. Чувство благодарности меняет нашу энергетику, мышление и гормональный фон. А также позволяет не забывать, что хорошее происходит в вашей жизни, и ценить людей вокруг.",,
Марс (здоровье и состояние),1,Как похудеть и вернуть прекрасную физическую форму,ЗДОРОВОЕ И КРАСИВОЕ ТЕЛО,Практика,"Задумайтесь какое тело и здоровье вы хотите иметь черз  10 лет? Опишите этот образ. Далее выпишите что для этого нужно начать делать прямо сейчас. На что выделить время и деньги. Вставить это в свой график жизни. ТАКЖЕ Выпишите не менее 20 пунктов: как вы можете проявлять любовь к своему телу каждый день своей жизни. Какие это могут быть действия: упражнения для тела утром, какие-то уходовые ритуалы для лица перед сном, горячая ванна с солью, массаж, прогулка, приятная красивая одежда длядома, ухоженный внешний вид, регулярные процедуры красоты и так далее. 
Начните следить за тем, чтобы каждый день вы выполняли какие-то из этих действий, обращали внимание на свое тело, давали ему любовь через простые действия и ритуалы.",,
,2,,Карта диагностики заболеваний,Психосоматическая карта,ссылка 1 ссылка 2. +ДОБАВИТЬ ИЗ  плаката ЗАБОЛЕВАНИЯ ПО ЧИСЛУ ЧОЗНАНИЯ,,
,3,Как управлять эмоциями,Мое состояние и эмоции ,Дневник эмоций,"Каждый день утром / перед сном / в течение дня записывайте в дневник или заметки все свои чувства, настроение, эмоции и отмечайте свое состояние от 1 до 10. 
Опишите, как вы себя чувствуете и почему. 
Это позволит вам натренировать навык чувствования и больше проживать настоящее, возвращаться к себе, оценивать, насколкьо вы выбираете себя здесь и сейчас, и что вы можете для себя сделать. ",,
,4,,Стоп паника ,Телесная практика,"Вы можете использовать эту технику для самостоятельной работы. 
Зафиксируйте голову на одном месте и поднимите перед собой два пальца, соединив их. Лучше всего держать их чуть выше линии горизонта. 
Ваша задача — двигать пальцы из стороны в сторону, сначала максимально влево, а потом максимально вправо. Ваши глаза при этом должны неотрывно следить за движением пальцев. Скорость регулируйте сами. 
Одновременно сфокусируйтесь на чувстве страха, которое никак не дает делать шаг вперед. Максимально усильте его — вспомните неприятную сцену, какое-то травмирующее событие, что-то тяжелое, жуткое, что тяготило вас в последнее время, и как бы стирайте это пальцами, будто ластиком. Если почувствуете усталость, можно остановиться, отдохнуть. 
Закончив упражнение, возвращайтесь в здесь и сейчас, легонько постучите себя по коленкам, по рукам, осмотритесь. Сделайте 3 глубоких вдоха и выдоха. Далее можно сделать еще 2 подхода, если вы чувствуете себя комфортно — ориентируйтесь на собственные ощущения. ",,
,5,Как привести в баланс свое состояние,ИСТОЧНИКИ ЭНЕРГИИ по дате рождения,9 гайдов по числам сознания,Информация из книги знаний: как поднимать энергию по числу сознания. ,,
,6,,Способы повышения энергии и успокоения - поменять название,Гайд,"Физический уровень: 
1. Активность (ходьба, 8 км в день на скорости 5 км/час, спорт, плавание, танцы) 
2. Баланс воды (1 л/30 кг), теплая вода с лимоном 
3. Питание (минимизировать алкоголь, сахар, мясное, мучное, молочное) 
4. Сон (ложиться до полуночи, вставать рано) 
5. Баня (парилка, душ перед сном и после сна) 

Духовный уровень: 
1. Медитации 
2. Дыхательные практики 
3. Мантры 
4. Аффирмации 
5. Пение 

Социальный уровень: 
1. Общение с приятными вам людьми 
2. Самопрезентация, нести пользу людям 

Интеллектуальный уровень: 
1. Оставаться в позиции ученика 
2. Получать и пропускать знания через себя и свой опыт 3. Путешествия",https://disk.yandex.ru/d/YCXvIbMx1oTMPQ,
,7,,Техника на баланс,"техника ( марс, венера, сатурн)","Разделите лист на 5 столбцов. В первом столбце выпишите 4 сферы:
- Яркость жизни: хобби, окружение, путешествия, времяпрепровождение, любимые дела
- Я: здоровье, внешность, образование
- Семья: муж, дети, родители, родственники. Если выделить личную жизнь, то 5 сфер
- Деньги / работа

Во втором столбце оцените, сколько времени в процентах вы уделяете каждой из этих сфер.

Далее в третьем столбце поставьте балл от 1 до 10 на уровне ощущений, насколько качественным является это время. 

в 4 столбце Если вы поставили не 10, то в третьем столбце ответьте на вопрос: почему не 10? Что мешает, чтобы было 10?

Наконец, в 5 столбце напишите, что вы можете сделать прямо сейчас, чтобы ""подтянуть"" проседающую сферу в количественном (время) и качественном (баллы) отношении.",https://disk.yandex.ru/d/SNUpDpRd8AZJ8Q,
,8,Как повысить уровень энергии,Ресурсное состояние,Практика,"Разделите лист на две части. 
Слева напишите список, какие занятия и действия вас наполняют: творчество, массаж, обьятия, тренировки, прогулки, покупка одежды, музыка, добрые слова себе, встречи с близкими и т. д. Не менее 20 пунктов. 
Справа напишите, какие действия забирают у вас энергию: ссоры, отсутствие ухода за собой, долгий сон, какие-то рутинные дела на работе и т. д. Также не менее 20 пунктов. 
Проанализируйте эти два списка. Ответьте себе на вопрос: как вы можете построить свою жизнь так, чтобы в каждом ее дне было больше наполняющих действий, чем забирающих? Может, что-то сделегировать, поменять или отказаться вовсе? ",,"Гайд с манртами 5-7 мантр как подпитка ресурса ""Я есть любовь!, ""Куда я ни иду, за какое дело я ни берусь, я направляю любовь Бога впереди себя"""
